Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2015-03-31,AMGN,Amgen Inc,5.895,9.925,17.57,25.72,34.26,47.875,57.565,63.015,67.13,70.775,119.864501953125,123.04388448877755,119.76701699888794,122.46650353094769,3111000.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-01,AMGN,Amgen Inc,5.935,9.935,17.02,24.71,34.345,47.315,56.555,61.76,65.695,69.23,117.8023681640625,119.51953316537062,115.95771758905171,119.50453284342446,5135000.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-02,AMGN,Amgen Inc,5.455,9.825,16.875,24.72,34.38,46.55,55.225,60.18,63.98,67.39,116.8875732421875,118.61223312918764,116.25019097654233,117.81738748904404,3015200.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-06,AMGN,Amgen Inc,5.87,9.87,16.505,24.66,33.195,46.25,55.545,60.795,64.785,68.355,116.43765258789062,117.92987032412573,115.92775593946611,116.07772486889121,3185700.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-07,AMGN,Amgen Inc,5.965,10.025,16.605,24.745,33.29,46.305,55.57,60.805,64.775,68.335,117.93734741210938,119.57953383613098,116.43763545474084,116.69258374143888,2942600.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-08,AMGN,Amgen Inc,5.915,9.935,16.55,24.705,33.3,46.3,55.555,60.78,64.755,68.31,120.22440338134766,120.71931104429534,118.22228940876137,118.23727828929177,3031200.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-09,AMGN,Amgen Inc,5.95,10.03,16.605,24.73,33.365,46.33,55.555,60.76,64.725,68.275,121.09423828125,121.32669178889785,119.27958830328058,120.89926841659556,2860600.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-10,AMGN,Amgen Inc,5.88,9.905,16.53,24.69,33.335,46.31,55.545,60.76,64.72,68.27,122.51144409179688,122.74389755876483,120.20938129695116,121.16919580423972,2407200.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-13,AMGN,Amgen Inc,5.86,9.875,16.47,24.555,33.08,46.01,55.215,60.41,64.37,67.91,121.8440933227539,123.51626883109336,121.73160806891364,122.09154715093042,1767700.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-14,AMGN,Amgen Inc,6.035,10.19,17.0,25.375,34.235,47.5,56.89,62.155,66.14,69.705,121.90406036376953,122.57892599298275,120.39684291429346,121.85156496675299,2099400.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
